,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,best_step
0,h,c,2,3,h,5,6,c,8,[8]
1,h,h,c,3,c,h,6,7,8,[6]
2,0,1,h,3,4,5,c,h,8,"[0, 1, 4]"
3,0,1,2,c,4,h,h,7,c,"[0, 1, 2, 4, 7]"
4,h,c,h,c,h,5,6,h,c,[6]
5,0,c,2,3,c,5,h,h,8,[8]
6,h,1,2,3,4,c,h,c,8,[3]
7,0,c,2,3,h,5,h,c,8,[2]
8,0,c,c,h,4,c,h,h,8,"[0, 8]"
9,0,1,c,3,c,h,6,7,h,[6]
10,0,1,2,3,c,5,h,h,8,[8]
11,h,h,c,3,4,c,c,7,h,[4]
12,c,1,h,h,h,c,6,h,c,"[1, 6]"
13,h,1,h,c,c,h,h,c,c,[1]
14,c,1,2,3,4,5,6,h,h,[6]
15,c,h,h,c,4,h,h,7,c,[4]
16,h,h,c,c,4,h,6,h,c,[4]
17,c,c,h,h,4,c,6,h,8,"[4, 6, 8]"
18,0,c,h,3,4,h,h,c,8,[4]
19,0,c,h,h,4,5,6,7,8,[4]
20,h,c,2,c,4,5,h,7,8,[4]
21,c,c,h,3,4,h,6,h,8,[8]
22,0,1,c,3,4,h,h,7,8,"[0, 3, 4]"
23,h,h,2,c,4,c,h,7,c,"[2, 4]"
24,0,h,c,3,h,h,6,c,8,[3]
25,c,c,h,c,4,h,h,7,8,"[4, 7, 8]"
26,0,1,2,c,h,5,h,c,h,"[0, 1, 2, 5]"
27,0,h,c,3,h,c,6,7,8,[8]
28,0,1,2,3,4,5,h,7,8,[4]
29,c,h,2,3,c,5,h,7,8,[8]
30,c,c,h,h,c,h,c,h,8,[8]
31,0,1,2,c,h,h,h,c,c,[2]
32,0,c,h,3,h,5,6,c,8,[6]
33,0,h,2,h,c,c,h,h,c,"[0, 2]"
34,0,c,2,c,h,h,6,7,h,"[0, 2, 6, 7]"
35,c,h,h,3,4,5,6,c,h,[5]
36,0,c,2,h,h,5,6,c,8,[5]
37,h,1,2,3,4,c,c,7,h,[4]
38,h,c,c,c,h,h,c,h,8,[8]
39,0,h,2,3,4,c,c,h,h,[4]
40,h,c,h,3,4,5,6,7,8,[4]
41,0,1,2,c,h,5,c,h,h,[0]
42,0,h,h,c,c,5,6,h,8,[5]
43,c,h,h,3,c,5,6,7,8,[8]
44,0,1,2,h,4,c,h,c,8,[0]
45,h,1,c,3,h,h,6,c,8,"[1, 3, 6, 8]"
46,h,1,c,3,h,5,c,h,8,"[1, 3, 5, 8]"
47,h,h,c,3,4,5,h,7,c,[5]
48,0,1,2,c,h,5,6,7,8,"[0, 1, 2, 6, 7, 8]"
49,0,h,c,h,c,c,h,c,h,[0]
50,h,c,2,3,4,h,6,7,8,[4]
51,h,c,c,c,4,h,h,h,c,[4]
52,h,h,2,h,4,c,c,h,c,[2]
53,c,c,h,h,4,5,c,7,h,[5]
54,c,1,h,h,c,c,h,c,h,[1]
55,h,c,c,h,4,h,c,c,h,[4]
56,0,h,2,h,h,c,c,7,8,[7]
57,0,1,2,h,c,5,6,7,h,"[0, 1, 6, 7]"
58,0,1,2,3,h,5,c,7,8,"[0, 1, 2, 3, 5, 7, 8]"
59,0,c,h,c,4,c,h,h,8,[4]
60,0,1,2,3,4,c,6,h,h,[6]
61,0,1,h,c,c,5,6,7,h,[5]
62,h,c,h,3,4,c,c,h,8,"[3, 4, 8]"
63,h,1,c,h,4,5,6,7,8,[6]
64,0,h,2,3,c,h,6,7,8,"[0, 2, 8]"
65,0,h,c,3,c,5,h,7,h,[7]
66,h,c,h,3,c,c,c,h,h,[3]
67,h,1,c,3,4,5,c,h,8,[4]
68,0,1,c,c,4,h,6,7,h,"[0, 6]"
69,0,h,2,c,4,c,6,h,h,[4]
70,0,1,2,c,4,5,h,h,8,[8]
71,h,1,2,h,4,c,6,c,h,"[1, 2, 4, 6]"
72,c,c,2,h,4,h,6,7,8,[2]
73,c,h,2,h,4,5,6,h,c,[4]
74,c,1,2,h,h,5,6,7,c,[5]
75,0,1,h,3,c,h,c,h,8,[8]
76,0,c,2,3,4,h,6,h,8,"[6, 8]"
77,c,h,2,c,h,h,6,c,8,[6]
78,c,h,c,3,4,h,6,h,8,[4]
79,0,h,h,c,h,h,6,c,c,[6]
80,0,c,h,3,h,5,c,c,h,"[0, 3, 5]"
81,h,1,2,3,c,5,c,7,h,[2]
82,0,1,h,h,4,c,6,h,c,"[0, 1, 4, 6]"
83,0,c,h,h,h,c,c,h,c,[0]
84,c,1,2,h,4,5,6,h,8,[2]
85,h,1,2,3,c,h,6,7,8,"[1, 2, 7, 8]"
86,c,h,2,3,h,h,6,c,c,[6]
87,h,c,c,3,4,5,h,h,8,"[3, 4, 5, 8]"
88,0,1,2,3,h,5,h,c,c,[2]
89,h,1,2,3,4,5,c,7,8,"[2, 7, 8]"
90,c,c,2,c,h,h,h,c,h,[2]
91,0,1,h,3,4,5,c,7,8,"[0, 8]"
92,h,1,2,c,4,5,h,c,h,[4]
93,c,h,2,c,h,c,h,7,h,"[2, 7]"
94,h,c,2,3,c,5,h,7,8,[7]
95,0,1,2,c,4,h,6,h,c,[0]
96,0,1,2,h,4,5,6,c,h,[4]
97,h,1,2,h,4,5,c,7,c,[7]
98,0,1,h,3,h,5,c,7,c,[7]
99,c,h,h,3,c,c,c,h,h,[3]
100,0,1,2,h,h,5,c,7,c,[7]
101,c,h,h,3,4,5,c,h,8,[3]
102,0,c,c,h,c,5,h,h,8,[0]
103,0,1,h,c,4,5,h,h,c,[4]
104,0,c,2,3,4,5,h,h,c,"[0, 2]"
105,c,h,h,h,h,c,c,c,8,[8]
106,c,1,2,c,4,h,h,h,8,[8]
107,0,c,2,h,4,c,6,h,8,[2]
108,h,1,h,3,4,c,6,7,8,[1]
109,0,c,h,c,h,c,6,h,8,[6]
110,c,h,2,3,4,h,c,h,c,"[3, 4]"
111,c,c,h,h,h,5,c,h,8,[5]
112,c,1,2,3,h,5,6,7,8,"[1, 2, 3, 5, 6, 7, 8]"
113,0,h,2,c,4,5,6,h,8,[4]
114,c,h,c,h,4,c,h,h,8,[8]
115,c,h,h,h,4,c,h,c,8,[4]
116,h,h,2,3,4,c,c,7,h,"[2, 3, 4, 7]"
117,h,c,h,c,h,h,c,c,8,[8]
118,0,h,h,c,4,5,6,7,8,[0]
119,h,c,c,h,h,5,6,h,c,[5]
120,h,1,2,3,4,h,c,h,c,"[1, 4]"
121,0,1,c,c,h,h,h,c,8,"[0, 1, 8]"
122,c,c,2,3,h,5,h,7,h,[2]
123,0,c,2,3,h,h,h,c,c,"[0, 2, 3]"
124,c,1,2,c,h,5,6,h,8,[6]
125,h,h,2,c,h,c,h,c,c,[2]
126,h,c,h,c,4,c,c,h,h,[4]
127,0,h,c,3,4,5,h,c,8,"[0, 3, 4, 5, 8]"
128,c,1,h,3,4,5,6,h,8,[6]
129,0,1,c,h,4,5,h,7,8,[0]
130,0,1,2,3,4,h,6,c,8,"[4, 8]"
131,0,1,2,h,4,5,c,h,c,"[2, 4]"
132,h,h,2,3,4,5,6,c,8,[2]
133,h,1,2,h,4,5,6,c,8,[6]
134,0,c,h,3,4,c,6,h,8,"[3, 4, 6, 8]"
135,h,1,2,c,h,5,6,7,8,[8]
136,c,c,h,h,4,5,6,h,c,[4]
137,0,1,h,c,h,5,6,7,8,[6]
138,0,c,2,h,h,c,h,7,c,[2]
139,c,1,2,3,c,h,6,h,h,"[1, 2, 3, 6]"
140,h,1,h,h,c,c,6,c,8,[1]
141,0,1,h,3,h,5,6,7,c,[6]
142,c,1,2,h,c,5,6,h,8,[8]
143,0,h,2,3,4,5,h,7,c,[2]
144,c,1,c,3,h,h,h,7,8,[1]
145,0,1,h,3,c,h,6,7,c,[0]
146,c,h,2,h,c,5,c,7,h,[2]
147,c,h,h,c,4,5,h,c,8,[4]
148,c,h,2,3,4,h,6,c,8,"[6, 8]"
149,0,1,2,h,c,5,c,h,8,[2]
150,0,1,c,3,4,5,6,h,h,[6]
151,h,1,2,c,4,h,6,7,8,"[2, 8]"
152,h,h,c,3,4,5,c,7,h,[4]
153,0,1,2,h,4,c,6,h,8,"[0, 6]"
154,c,h,c,3,c,h,h,h,8,[8]
155,c,1,2,c,4,h,6,7,h,[6]
156,0,1,2,3,4,h,c,h,8,[0]
157,h,1,2,3,4,h,6,c,8,[4]
158,h,1,2,3,4,5,6,7,c,"[2, 6]"
159,0,1,c,3,h,c,h,c,h,[0]
160,h,c,2,3,4,5,c,h,h,[4]
161,0,h,2,3,c,5,6,7,h,"[0, 2, 3, 5]"
162,c,1,h,c,4,h,6,h,c,"[4, 6]"
163,0,c,2,h,c,5,6,h,8,"[0, 2]"
164,h,h,2,3,c,c,6,h,8,[3]
165,0,h,h,c,h,c,c,7,8,[0]
166,c,1,2,3,4,5,6,7,h,"[2, 6]"
167,h,c,c,3,h,5,h,7,c,[5]
168,c,1,c,h,h,c,6,h,h,[1]
169,0,h,h,3,h,c,c,7,c,[7]
170,0,1,2,c,h,5,h,7,c,[2]
171,c,h,2,3,4,5,h,h,c,[4]
172,c,h,c,h,4,h,6,c,8,[4]
173,0,c,2,3,4,5,6,7,h,[2]
174,c,h,h,h,4,c,c,h,8,[4]
175,0,c,2,c,c,h,h,7,h,[7]
176,c,1,c,c,h,h,h,7,8,[1]
177,0,c,h,h,h,c,c,c,h,[0]
178,h,1,c,c,h,h,6,7,8,[8]
179,h,c,2,3,h,h,c,h,c,[3]
180,0,h,2,3,c,c,h,7,h,[3]
181,c,h,2,3,4,5,h,c,h,"[2, 4, 5]"
182,c,h,c,3,h,h,c,7,h,[3]
183,h,h,c,c,4,5,6,7,8,"[4, 5]"
184,c,h,c,h,h,5,c,c,h,[5]
185,0,1,h,3,4,c,h,c,8,[4]
186,0,h,2,3,4,h,c,c,8,[8]
187,c,c,h,h,h,c,6,7,8,[6]
188,0,1,c,3,h,5,6,7,8,"[0, 1, 3, 5, 6, 7, 8]"
189,c,h,h,c,4,h,h,c,c,[4]
190,h,c,2,c,4,5,6,h,8,"[4, 5, 6, 8]"
191,c,1,2,3,h,c,h,h,8,"[1, 2, 3, 8]"
192,0,c,h,3,h,5,c,h,8,"[0, 3, 5, 8]"
193,0,c,h,h,c,h,6,h,c,[0]
194,h,c,h,c,4,5,6,7,8,[4]
195,0,h,h,c,h,c,6,7,8,"[0, 6, 7, 8]"
196,c,1,h,h,4,5,h,c,c,[4]
197,0,h,h,c,4,h,c,7,8,[0]
198,0,1,h,h,4,5,c,7,8,"[4, 5, 8]"
199,0,h,c,3,4,h,c,7,8,[4]
200,0,h,2,c,4,5,6,7,8,"[0, 4]"
201,h,h,c,h,c,h,6,c,c,[6]
202,h,1,2,3,c,5,6,7,8,"[1, 2, 3, 5, 6, 7, 8]"
203,h,1,h,h,c,h,c,c,8,"[1, 8]"
204,c,1,h,3,4,5,h,c,8,[4]
205,0,c,c,3,4,h,h,c,h,"[0, 4]"
206,h,1,2,h,4,c,6,7,c,[2]
207,c,h,c,h,4,5,c,h,h,[4]
208,h,1,2,h,h,5,c,7,c,[7]
209,0,1,2,3,h,h,c,7,c,[7]
210,0,1,h,3,c,c,6,7,h,[3]
211,c,c,h,h,4,c,h,h,8,"[4, 8]"
212,0,1,c,h,4,h,6,7,8,[4]
213,h,1,h,c,h,5,c,7,c,[7]
214,h,1,2,h,c,h,c,7,c,"[2, 7]"
215,0,1,2,c,h,c,6,h,8,[1]
216,h,1,c,3,4,h,h,c,c,[3]
217,h,c,2,3,4,h,6,c,8,[4]
218,0,1,h,3,c,5,c,h,8,"[0, 3]"
219,0,c,2,3,4,h,6,7,8,"[2, 4]"
220,0,1,2,3,4,5,c,7,h,"[0, 2, 3]"
221,h,h,c,h,c,c,6,7,8,"[6, 8]"
222,0,h,h,c,4,h,6,7,c,[0]
223,0,h,2,h,h,c,c,c,8,[8]
224,c,c,2,h,c,h,h,7,h,"[2, 7]"
225,c,1,2,h,4,5,6,7,8,"[1, 2, 4]"
226,0,h,h,3,4,5,c,7,c,[7]
227,0,c,2,3,4,5,h,7,h,[7]
228,0,1,2,3,4,h,c,7,8,"[0, 4, 8]"
229,0,1,2,h,4,c,6,7,8,"[0, 1, 2, 4, 6, 7, 8]"
230,0,1,2,h,4,5,6,7,c,"[2, 4, 6]"
231,0,1,2,3,c,5,h,7,8,"[0, 1, 2, 3, 5, 7, 8]"
232,0,h,2,c,c,h,6,h,8,"[0, 6]"
233,h,1,c,h,4,5,6,c,8,[6]
234,h,c,2,h,4,c,c,h,h,[4]
235,c,1,c,h,4,5,h,7,h,[1]
236,0,1,c,3,h,5,c,7,h,[0]
237,c,h,c,h,h,c,6,c,h,[6]
238,h,h,2,c,4,c,6,7,h,[4]
239,c,c,h,3,4,5,h,7,8,[4]
240,0,h,c,h,4,c,h,7,8,[8]
241,0,1,2,3,c,h,6,7,8,"[0, 1, 2, 6, 7, 8]"
242,0,c,h,c,4,h,6,h,c,[0]
243,c,1,c,h,h,5,6,7,h,[1]
244,0,h,h,c,4,c,h,7,8,[4]
245,0,h,c,3,4,h,h,c,8,"[0, 3, 4]"
246,0,c,h,3,4,5,6,7,8,"[4, 5, 6, 8]"
247,h,h,2,3,c,5,6,7,c,[2]
248,h,1,2,3,c,h,6,c,8,[1]
249,0,h,c,3,4,c,6,h,h,"[0, 3, 4, 6]"
250,c,1,2,3,4,5,h,h,8,[8]
251,0,1,2,c,h,5,c,7,h,[0]
252,0,h,h,3,c,5,6,7,c,[0]
253,0,h,c,c,4,5,6,7,h,"[4, 6]"
254,0,1,2,3,h,5,6,c,8,"[0, 2, 3, 5, 6, 8]"
255,h,1,h,3,c,5,6,7,c,[1]
256,0,h,h,3,c,c,h,h,c,"[0, 3]"
257,c,c,2,h,4,h,h,7,8,[2]
258,c,h,h,h,c,5,6,c,h,[5]
259,0,1,h,c,h,5,c,c,h,[0]
260,0,c,h,3,h,5,6,c,h,"[0, 3, 5, 6]"
261,h,h,2,3,4,c,6,7,8,[2]
262,h,1,2,3,4,5,h,c,8,[3]
263,0,1,2,c,4,h,6,7,h,[2]
264,h,1,c,h,h,c,6,7,8,[8]
265,h,h,c,3,c,c,h,c,h,[3]
266,c,1,2,3,4,h,6,7,h,[2]
267,0,1,2,3,4,c,6,7,h,"[0, 4, 6, 7]"
268,0,h,h,c,4,5,6,c,8,[0]
269,0,1,c,3,c,h,6,h,8,[6]
270,h,c,h,h,4,c,6,h,c,[6]
271,0,1,h,3,4,c,6,7,8,"[0, 1, 4, 6]"
272,h,h,c,c,c,h,6,h,c,[6]
273,0,1,c,3,4,5,6,7,h,"[0, 1, 6]"
274,0,h,h,3,4,h,6,c,c,[6]
275,0,1,2,c,4,5,6,h,8,"[4, 6]"
276,h,c,h,c,h,5,c,h,8,[8]
277,c,h,c,3,c,h,h,7,8,[8]
278,0,1,2,3,4,5,6,h,c,"[2, 4, 5]"
279,0,1,2,c,h,5,6,7,h,[0]
280,0,1,h,3,4,5,6,c,8,[8]
281,0,1,2,h,h,5,c,7,8,[5]
282,0,1,2,3,c,h,c,7,h,[2]
283,c,h,2,3,c,h,h,c,h,[2]
284,h,1,h,h,4,5,c,7,c,[7]
285,h,1,c,c,h,5,h,7,8,[8]
286,0,1,2,3,4,5,6,c,h,"[0, 2, 4, 5]"
287,0,1,h,3,c,5,6,h,c,[0]
288,c,1,2,h,h,c,c,h,h,[1]
289,h,1,2,h,c,5,6,7,8,[6]
290,c,h,h,3,h,h,6,c,c,[6]
291,0,c,h,c,h,5,6,c,h,"[0, 5, 6]"
292,0,h,2,h,c,5,c,h,8,[2]
293,c,h,2,c,4,c,h,h,8,[4]
294,0,h,2,h,c,5,6,h,c,[0]
295,0,c,h,3,h,h,c,7,8,"[0, 3, 7, 8]"
296,h,h,2,3,4,5,c,7,c,[7]
297,0,1,2,h,4,h,c,7,8,[4]
298,h,1,h,c,4,c,h,h,c,[4]
299,h,1,2,c,4,5,6,h,c,[5]
300,0,h,c,3,4,h,6,c,8,[6]
301,0,c,2,h,4,h,h,7,c,"[0, 2, 4, 7]"
302,0,1,h,c,c,5,h,7,8,[5]
303,0,1,c,c,h,5,6,h,8,[1]
304,h,c,c,h,4,h,6,h,c,"[4, 6]"
305,h,c,c,c,h,5,h,h,c,[5]
306,0,h,h,3,4,c,h,c,8,"[0, 3, 4, 8]"
307,h,1,2,3,4,5,6,7,8,[4]
308,0,1,c,c,4,5,h,7,h,[7]
309,0,c,h,h,h,c,c,7,h,[0]
310,0,h,c,3,h,5,6,7,8,[7]
311,c,1,2,h,c,5,c,h,h,[2]
312,h,c,h,c,c,h,6,h,c,[6]
313,0,h,2,h,4,c,c,h,c,[2]
314,h,1,h,3,4,c,h,7,c,"[1, 3, 4, 7]"
315,0,h,2,c,4,h,h,c,8,[2]
316,h,c,c,3,h,5,h,7,8,"[3, 5, 7, 8]"
317,0,h,2,3,4,h,c,7,8,"[0, 8]"
318,c,h,2,3,4,5,6,7,8,"[3, 4, 6]"
319,h,h,c,c,h,5,c,7,8,"[5, 7, 8]"
320,c,h,2,h,h,5,h,c,c,"[2, 5]"
321,0,1,h,h,c,c,h,h,c,[0]
322,0,c,c,h,h,5,c,7,h,[0]
323,h,c,h,h,4,5,6,7,c,[6]
324,c,1,2,3,h,5,6,7,h,"[2, 6]"
325,0,1,2,h,4,c,c,h,h,"[0, 1, 4]"
326,c,1,2,h,h,c,6,c,h,"[1, 2, 6]"
327,0,h,2,3,4,5,6,c,h,"[0, 2]"
328,0,1,h,h,c,c,h,c,h,[1]
329,c,1,h,h,4,c,h,c,h,[4]
330,h,1,h,3,c,c,c,7,h,[3]
331,c,1,c,3,4,h,h,7,h,[1]
