,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,best_step
664,c,1,2,h,4,5,c,h,h,[2]
665,c,c,h,h,4,5,c,h,h,[5]
666,c,1,h,3,c,5,6,7,h,[5]
667,c,h,2,c,h,5,h,7,c,"[2, 5, 7]"
668,h,c,h,c,4,5,h,h,c,[4]
669,0,h,c,h,4,c,c,h,h,[4]
670,h,1,h,h,c,c,6,c,h,[1]
671,h,h,2,c,c,5,6,7,h,[5]
672,h,1,2,c,h,c,6,h,8,"[1, 2, 6, 8]"
673,c,c,2,h,c,h,h,7,8,"[2, 7, 8]"
674,0,1,h,c,4,5,h,7,8,[4]
675,0,c,2,3,4,5,h,7,8,[0]
676,h,c,c,h,c,c,6,h,h,[6]
677,0,h,h,3,4,c,6,c,h,[0]
678,c,1,2,h,c,c,h,h,8,[8]
679,c,1,2,h,c,h,6,h,8,[8]
680,0,1,2,3,c,h,h,7,8,"[1, 2, 7, 8]"
681,h,h,2,c,4,c,6,7,8,[4]
682,h,h,c,h,c,h,6,c,8,[6]
683,0,1,2,h,h,c,c,7,8,[8]
684,h,c,h,h,c,c,6,7,8,[7]
685,h,c,h,3,c,5,h,h,c,[3]
686,0,c,h,3,4,5,h,7,8,[4]
687,h,c,c,3,h,5,6,h,c,[5]
688,0,c,2,3,c,5,h,7,h,[7]
689,h,c,c,c,h,h,h,c,8,[8]
690,0,h,c,h,c,5,6,7,h,[6]
691,c,1,h,h,c,h,6,c,8,"[1, 8]"
692,h,h,2,h,4,c,6,c,c,"[2, 6]"
693,0,1,h,h,4,5,c,7,c,[7]
694,h,h,2,3,4,c,h,c,c,[2]
695,c,1,c,3,h,h,6,7,h,[1]
696,c,1,h,c,h,h,6,7,8,[6]
697,c,h,2,c,h,c,6,7,h,[6]
698,0,1,c,h,4,c,h,h,8,[8]
699,h,h,2,3,4,h,6,c,c,[6]
700,h,c,h,c,4,c,6,h,h,[4]
701,h,h,2,3,h,c,h,c,c,[2]
702,0,h,h,3,4,5,c,h,c,"[0, 3, 4, 5]"
703,h,1,c,h,h,5,c,7,8,"[1, 5, 7, 8]"
704,0,1,2,h,4,5,6,h,c,[2]
705,0,h,c,h,4,5,c,7,8,[4]
706,0,c,h,c,h,5,6,h,8,[6]
707,h,1,h,3,c,c,6,h,8,[3]
708,h,c,h,3,h,c,c,h,c,[3]
709,h,1,c,3,4,c,h,7,8,[8]
710,h,1,h,3,h,c,6,c,8,"[1, 3, 6, 8]"
711,h,h,2,h,c,c,c,c,h,[2]
712,c,1,2,3,h,h,6,7,8,[3]
713,c,1,c,3,h,5,6,h,8,[1]
714,c,h,2,h,c,c,h,7,8,[8]
715,0,c,2,3,h,h,c,7,8,[3]
716,c,h,h,h,4,5,6,c,c,"[4, 6]"
717,0,1,c,3,4,h,6,h,8,[0]
718,h,c,c,3,4,h,h,7,c,[3]
719,0,1,h,h,4,c,6,7,8,"[0, 6]"
720,h,c,c,3,h,h,h,c,c,[3]
721,0,1,c,3,4,5,h,7,8,"[0, 8]"
722,c,c,h,h,4,c,h,h,c,[4]
723,0,c,h,3,4,5,6,h,8,"[6, 8]"
724,h,h,c,c,4,5,6,h,8,[4]
725,h,c,c,h,4,h,c,h,c,[4]
726,0,1,2,c,4,h,6,7,8,"[0, 1, 2, 4, 6, 7, 8]"
727,h,1,2,h,c,5,c,7,8,[2]
728,h,h,c,3,c,5,6,h,c,"[5, 6]"
729,c,1,h,h,4,5,c,7,8,[8]
730,h,h,c,c,c,h,h,c,8,[8]
731,c,c,2,h,c,h,c,h,h,[2]
732,c,h,2,c,c,h,6,7,h,[6]
733,c,1,2,h,4,c,h,c,h,[1]
734,h,h,c,h,h,5,6,c,c,"[5, 6]"
735,c,1,2,3,4,h,6,7,8,"[2, 4, 6]"
736,0,c,2,h,4,c,h,c,h,[4]
737,0,c,h,h,c,c,c,h,h,[0]
738,c,h,h,3,h,5,c,7,8,[3]
739,h,1,2,3,4,c,6,7,8,[2]
740,0,h,h,3,4,5,6,c,8,[0]
741,c,1,2,3,h,h,c,h,c,[3]
742,h,1,2,3,c,5,6,7,h,"[1, 3, 5, 7]"
743,0,h,c,h,4,5,6,7,8,[8]
744,c,h,h,3,c,5,c,h,8,"[3, 8]"
745,0,1,c,3,h,h,6,c,8,[3]
746,c,h,c,3,4,h,c,h,8,"[3, 4]"
747,c,1,c,3,4,5,h,h,8,[1]
748,0,h,h,c,c,5,h,h,c,"[0, 5]"
749,h,c,c,3,h,c,h,7,8,[8]
750,c,1,h,3,4,5,c,7,h,[3]
751,0,1,2,3,4,h,h,c,8,[4]
752,c,h,2,3,c,h,h,c,8,[8]
753,h,1,c,c,4,5,6,7,h,[4]
754,c,1,2,3,h,h,c,c,h,[3]
755,c,c,h,3,h,5,6,7,8,[6]
756,0,c,2,3,h,h,6,7,8,[3]
757,h,h,c,c,4,h,h,c,8,"[4, 8]"
758,c,h,h,3,h,5,6,c,8,[6]
759,h,1,h,3,c,5,6,7,8,[1]
760,0,1,h,h,4,c,c,7,8,"[0, 1, 4, 7, 8]"
761,0,c,c,3,c,h,h,7,h,"[0, 7]"
762,0,h,2,3,4,c,6,c,h,"[0, 2, 3, 4]"
763,0,h,2,c,h,h,c,7,8,[0]
764,0,1,2,h,4,5,c,7,8,"[4, 7, 8]"
765,h,c,2,h,h,c,c,h,c,[2]
766,0,1,h,3,4,c,6,h,8,[4]
767,h,c,h,3,4,c,6,h,c,"[3, 4, 6]"
768,c,1,2,3,4,5,h,h,c,[4]
769,c,1,h,h,4,5,6,7,8,"[4, 5]"
770,c,1,h,h,c,c,c,h,h,[1]
771,0,c,h,3,h,c,6,7,8,[6]
772,c,h,c,3,4,5,h,h,8,"[3, 4, 5, 8]"
773,c,h,h,c,c,5,h,c,h,[5]
774,c,1,2,h,4,5,6,7,h,"[2, 4, 5]"
775,0,1,2,3,4,h,c,7,h,[2]
776,0,1,2,h,4,c,6,7,h,"[0, 6]"
777,0,1,2,3,c,h,6,h,8,"[2, 6, 8]"
778,0,h,c,3,c,h,h,h,c,[0]
779,0,h,c,3,4,c,6,7,h,[4]
780,h,1,c,h,4,5,6,c,h,"[1, 4, 5, 6]"
781,0,1,2,3,c,5,h,7,h,[7]
782,0,1,c,3,h,c,h,7,8,[8]
783,h,c,h,3,4,h,c,7,c,[7]
784,c,1,h,3,h,5,6,7,8,[6]
785,0,1,2,3,4,5,6,h,8,"[1, 4, 6, 8]"
786,c,c,h,3,4,h,h,7,c,[4]
787,h,1,h,c,4,5,c,7,h,"[1, 4, 5, 7]"
788,h,1,2,3,4,5,h,c,c,[3]
789,h,1,2,c,c,h,6,7,8,"[1, 2, 7, 8]"
790,c,h,2,3,h,h,c,c,h,[3]
791,c,h,2,3,h,5,6,7,8,[7]
792,c,1,c,3,h,c,6,h,h,[1]
793,h,c,2,h,4,5,6,c,8,[4]
794,c,h,2,h,4,5,6,7,8,"[4, 5, 7]"
795,0,1,h,3,c,5,h,7,8,"[1, 3, 5, 7]"
796,0,h,2,c,h,c,6,c,h,[0]
797,h,c,h,c,h,5,c,h,c,[5]
798,c,h,2,3,4,5,h,7,8,"[4, 7]"
799,h,1,2,c,4,5,c,h,h,[4]
800,h,h,c,c,4,c,6,h,8,"[4, 8]"
801,h,h,2,3,4,5,c,7,8,[2]
802,0,1,2,3,c,5,6,h,h,[6]
803,c,1,2,3,4,5,6,h,8,"[2, 4, 6]"
804,0,1,2,h,4,c,c,h,8,[2]
805,h,1,h,3,c,h,h,c,c,[1]
806,0,h,2,3,4,5,6,c,8,"[0, 2, 3, 4, 5, 6, 8]"
807,c,1,h,h,4,c,h,c,8,[4]
808,0,h,h,3,4,c,6,7,c,[0]
809,0,h,2,c,4,c,h,h,c,"[2, 4]"
810,c,h,c,c,4,h,h,c,h,[4]
811,h,h,2,c,4,5,6,7,8,[2]
812,c,h,2,3,4,h,6,7,c,[4]
813,0,h,2,c,c,h,6,c,h,[2]
814,h,1,h,3,4,h,c,7,c,[7]
815,0,1,h,3,c,c,6,h,h,[3]
816,c,h,2,3,4,5,6,h,8,[4]
817,h,1,2,3,4,h,c,7,8,[8]
818,c,h,h,3,4,5,6,c,8,"[6, 8]"
819,h,1,2,3,4,h,6,7,c,"[3, 4, 6]"
820,0,1,h,3,4,h,c,7,8,[8]
821,0,1,2,3,h,c,h,7,c,[2]
822,h,1,c,3,c,5,6,h,8,[6]
823,0,c,2,h,4,5,6,7,8,"[0, 4]"
824,h,c,2,c,h,5,c,h,8,[8]
825,h,c,2,h,4,5,c,h,c,[2]
826,h,c,2,3,h,5,c,h,8,[8]
827,h,c,h,h,h,5,c,7,c,[7]
828,0,1,2,c,4,5,6,h,h,[6]
829,0,1,h,h,c,5,h,c,c,"[0, 1]"
830,c,h,c,3,c,h,h,7,h,[7]
831,0,1,2,c,4,5,h,7,h,[7]
832,h,h,2,c,c,h,6,7,c,[2]
833,h,c,c,3,4,5,6,7,h,[4]
834,c,h,c,h,h,c,c,7,h,[7]
835,0,1,h,3,4,5,6,c,h,[5]
836,0,1,h,h,c,5,6,c,h,[1]
837,h,c,h,3,4,5,c,h,c,"[3, 4, 5]"
838,c,h,h,h,4,h,c,c,8,[8]
839,c,h,h,3,4,5,h,c,8,[4]
840,0,c,2,h,c,5,6,7,h,[7]
841,0,c,h,h,4,c,6,7,8,"[0, 4, 6, 7]"
842,h,1,2,c,4,h,6,h,c,"[1, 2, 4]"
843,0,c,2,h,h,c,6,7,h,[0]
844,c,1,c,3,h,5,h,7,h,[1]
845,0,h,c,3,h,5,6,7,c,[5]
846,0,c,2,c,h,h,h,c,8,[2]
847,0,h,c,3,4,5,6,7,8,"[4, 5, 8]"
848,c,1,h,3,h,c,6,c,h,[6]
849,h,c,c,3,h,5,c,h,8,[8]
850,h,c,2,3,4,h,c,h,c,"[2, 3, 4]"
851,0,1,c,c,h,h,c,h,h,[0]
852,0,1,2,h,c,5,6,7,8,"[0, 1, 2, 6, 7, 8]"
853,c,c,2,h,c,5,6,h,h,[2]
854,c,c,h,h,4,h,6,h,c,[4]
855,h,1,h,3,c,c,h,7,c,[3]
856,0,h,2,3,4,c,6,h,8,[4]
857,0,h,c,h,c,5,6,c,h,[6]
858,c,1,c,3,h,h,6,c,h,[1]
859,0,h,h,h,c,c,h,7,c,[0]
860,c,c,h,3,4,h,6,h,c,[4]
861,0,c,2,h,h,5,c,7,8,[5]
862,h,h,c,h,4,h,6,c,c,[6]
863,0,h,2,3,h,c,h,c,8,[2]
864,c,1,2,c,4,h,h,7,h,"[1, 2, 4, 7]"
865,h,c,2,c,4,5,6,7,h,[4]
866,h,c,2,3,h,5,6,7,8,[8]
867,0,1,c,c,h,5,h,7,h,"[0, 1, 5, 7]"
868,0,c,2,h,4,5,h,h,c,[0]
869,h,1,c,c,h,c,h,h,8,[8]
870,0,h,2,3,h,c,6,7,8,[7]
871,0,c,2,3,h,5,h,7,8,[2]
872,c,c,h,h,h,c,c,h,8,[8]
873,h,1,c,c,c,h,6,h,h,[6]
874,0,1,2,h,h,c,6,7,8,"[0, 2, 6, 8]"
875,c,1,2,c,h,5,6,7,h,[6]
876,c,h,h,3,c,h,6,c,8,[8]
877,h,1,2,c,4,h,c,h,c,"[1, 2, 4]"
878,c,h,2,c,h,c,h,7,8,"[2, 7, 8]"
879,0,1,h,3,4,5,6,h,c,"[1, 4]"
880,h,1,2,3,h,c,h,7,c,[2]
881,c,1,h,3,4,5,6,7,h,[5]
882,0,1,2,h,h,c,h,7,c,[2]
883,c,h,h,3,c,5,h,c,h,[5]
884,c,h,h,3,4,c,6,7,8,"[3, 4]"
885,0,h,2,3,c,h,c,h,c,"[0, 2]"
886,0,c,2,c,4,h,h,h,c,[0]
887,0,c,h,3,h,5,6,7,8,[6]
888,h,c,2,3,4,c,6,7,h,[4]
889,h,1,c,3,4,5,h,7,8,[3]
890,0,1,c,3,h,h,6,h,c,"[0, 1, 3, 6]"
891,0,c,2,h,h,5,6,7,8,[5]
892,h,h,2,3,4,c,c,7,8,[2]
893,0,c,h,c,c,h,h,h,c,[0]
894,0,1,2,h,c,5,c,7,h,[2]
895,0,c,2,3,h,5,6,h,8,"[0, 2, 6, 8]"
896,c,h,h,3,h,c,c,c,h,[3]
897,0,1,2,h,4,c,h,7,8,[0]
898,c,1,2,h,4,c,h,h,8,[8]
899,h,1,c,h,4,5,6,7,c,[5]
900,0,c,h,3,4,c,h,h,8,"[0, 3, 4, 8]"
901,0,h,c,h,c,c,6,h,h,[6]
902,0,1,c,h,c,5,h,h,c,"[0, 5]"
903,0,c,h,c,h,5,c,h,h,[0]
904,0,c,2,3,h,h,6,c,8,[3]
905,c,1,h,c,4,h,h,7,c,[4]
906,c,h,c,h,c,5,h,c,h,[5]
907,c,1,c,c,h,h,6,h,8,"[1, 6]"
908,h,c,h,c,4,h,6,7,c,[7]
909,c,1,2,3,h,h,c,7,h,[3]
910,h,1,h,c,4,c,6,h,c,[4]
911,0,1,2,3,4,5,6,7,8,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
912,h,1,2,3,c,5,h,7,8,[3]
913,h,c,2,c,h,5,h,7,8,"[2, 5, 7, 8]"
914,c,1,h,h,4,5,6,c,8,"[4, 8]"
915,0,1,h,3,c,5,6,7,8,"[0, 1, 3, 5, 6, 7, 8]"
916,c,h,2,3,c,5,c,h,h,"[2, 3]"
917,0,1,h,c,4,c,6,7,h,[4]
918,c,h,2,h,h,c,c,c,h,[2]
919,c,h,h,c,c,h,6,7,8,"[6, 8]"
920,0,1,c,3,4,h,6,7,8,"[0, 1, 4]"
921,0,1,2,c,4,h,c,7,h,[0]
922,h,c,2,3,c,h,h,7,c,[7]
923,c,h,c,3,h,h,6,c,h,[3]
924,c,1,h,3,c,5,6,h,8,[8]
925,0,1,2,3,h,5,6,7,c,"[0, 1, 2, 3, 5, 6, 7]"
926,0,1,2,3,c,5,h,c,h,[1]
927,c,1,h,3,4,h,6,7,8,[8]
928,c,1,2,3,4,5,h,7,h,[7]
929,c,c,h,h,4,h,6,7,c,[4]
930,h,1,2,3,c,h,h,7,c,[3]
931,0,1,2,3,c,5,6,7,h,"[0, 1, 2, 3, 5, 6, 7]"
932,0,1,2,3,4,5,h,c,8,"[0, 2, 3, 4]"
933,0,h,h,h,c,5,c,7,c,"[0, 7]"
934,c,h,h,3,4,5,c,h,c,"[3, 4]"
935,c,h,h,h,c,c,6,7,h,"[6, 7]"
936,0,1,h,c,4,5,c,7,h,[0]
937,h,1,c,3,4,c,h,7,h,"[1, 3, 4, 7]"
938,0,1,2,3,h,5,c,h,8,[1]
939,c,1,2,h,c,5,h,7,8,[8]
940,0,1,2,3,h,5,h,7,c,[2]
941,0,1,h,3,c,5,h,c,8,[1]
942,0,c,2,3,h,h,c,7,h,"[0, 2, 3, 7]"
943,0,1,c,h,4,5,6,7,8,"[0, 4, 8]"
944,0,h,2,3,c,c,h,7,8,[3]
945,c,c,2,h,4,h,6,h,8,[2]
946,h,c,2,3,4,5,6,c,h,[4]
947,0,1,c,3,4,5,h,7,h,[7]
948,h,1,2,c,4,5,6,7,8,"[1, 2, 4, 8]"
949,c,h,c,h,4,c,h,c,h,[4]
950,h,c,h,3,4,h,c,7,8,[8]
951,0,1,h,c,4,5,6,7,h,[5]
952,h,h,c,3,4,5,6,7,8,"[5, 8]"
953,c,1,h,3,4,5,6,h,c,[4]
954,0,1,h,3,4,5,6,7,c,"[0, 6, 7]"
955,h,h,2,3,4,5,c,c,8,[8]
956,0,1,2,c,4,5,6,7,h,[6]
957,c,1,2,h,h,5,6,c,h,[5]
958,0,c,2,h,4,h,h,c,8,[4]
959,0,1,c,h,h,5,6,7,8,[5]
960,0,h,c,3,c,5,6,7,h,[6]
961,h,1,c,h,4,c,6,h,8,[8]
962,h,c,h,c,c,5,c,h,h,[5]
963,h,1,2,3,4,5,c,h,8,"[1, 4]"
964,0,1,2,h,c,c,h,h,c,"[0, 2]"
965,c,1,2,h,h,c,6,7,8,[2]
966,0,h,h,h,4,c,c,h,c,"[0, 4]"
967,h,h,2,c,4,5,6,c,8,[2]
968,c,h,h,h,h,c,6,c,c,[6]
969,c,h,2,3,4,c,6,7,h,[3]
970,h,h,2,h,h,c,c,c,8,[8]
971,0,1,2,3,4,h,6,7,8,"[2, 3, 4, 8]"
972,0,c,c,c,4,h,h,7,h,[0]
973,0,c,2,3,h,c,6,7,h,[0]
974,h,c,2,h,4,h,c,7,8,[4]
975,c,1,2,c,h,h,6,7,8,[6]
976,0,h,c,c,4,5,h,h,8,"[0, 4, 5, 8]"
977,c,c,2,3,h,5,6,h,8,[2]
978,h,1,h,3,c,h,6,7,c,[1]
979,c,1,h,c,h,5,6,7,8,[6]
980,c,h,2,c,h,5,6,7,8,[6]
981,0,1,2,3,4,c,h,7,h,[7]
982,0,1,c,h,4,c,6,h,8,[8]
983,h,c,h,h,4,5,6,c,8,[4]
984,h,h,c,h,h,5,c,c,8,[8]
985,h,c,c,3,4,h,c,h,h,[4]
986,h,c,h,h,c,c,6,h,c,[6]
987,c,1,2,h,h,5,c,7,8,[5]
988,0,1,c,3,h,c,h,7,h,"[0, 1, 3, 7]"
989,0,h,2,3,4,5,c,c,h,"[0, 2]"
990,0,h,h,3,c,5,c,7,8,[0]
991,c,1,c,h,4,5,h,7,8,[1]
992,0,c,2,h,h,c,h,h,c,[2]
993,h,h,2,c,c,h,6,7,8,[2]
994,0,1,c,h,4,5,c,h,h,[4]
995,0,1,c,3,h,5,h,h,c,[5]
996,h,1,c,h,h,5,c,h,c,[5]
997,c,1,2,3,h,c,h,h,c,[2]
998,0,h,h,h,c,c,h,c,c,[0]
999,c,h,h,3,4,5,c,c,h,[3]
